NAME,No_of_Rooms,Rent
Oceana County,5 or more Rooms,1063
Oceana County,No Rooms,490
Ogemaw County,1 Room,601
Ogemaw County,2 Rooms,684
Ogemaw County,3 Rooms,753
Ogemaw County,4 Rooms,945
Ogemaw County,5 or more Rooms,0
Ogemaw County,No Rooms,543
Ontonagon County,1 Room,477
Ontonagon County,2 Rooms,579
Ontonagon County,3 Rooms,584
Ontonagon County,4 Rooms,925
Ontonagon County,5 or more Rooms,0
Ontonagon County,No Rooms,0
Osceola County,1 Room,386
Osceola County,2 Rooms,688
Osceola County,3 Rooms,812
Osceola County,4 Rooms,1006
Osceola County,5 or more Rooms,871
Osceola County,No Rooms,239
Oscoda County,1 Room,302
Oscoda County,2 Rooms,715
Oscoda County,3 Rooms,799
Oscoda County,4 Rooms,0
Oscoda County,5 or more Rooms,0
Oscoda County,No Rooms,0
Otsego County,1 Room,600
Otsego County,2 Rooms,773
Otsego County,3 Rooms,946
Otsego County,4 Rooms,1115
Otsego County,5 or more Rooms,0
Otsego County,No Rooms,668
Ottawa County,1 Room,830
Ottawa County,2 Rooms,905
Ottawa County,3 Rooms,1105
Ottawa County,4 Rooms,1322
Ottawa County,5 or more Rooms,1594
Ottawa County,No Rooms,771
Presque Isle County,1 Room,372
Presque Isle County,2 Rooms,569
Presque Isle County,3 Rooms,713
Presque Isle County,4 Rooms,841
Presque Isle County,5 or more Rooms,0
Presque Isle County,No Rooms,378
Roscommon County,1 Room,467
Roscommon County,2 Rooms,669
Roscommon County,3 Rooms,797
Roscommon County,4 Rooms,900
Roscommon County,5 or more Rooms,835
Roscommon County,No Rooms,586
Saginaw County,1 Room,562
Saginaw County,2 Rooms,775
Saginaw County,3 Rooms,927
Saginaw County,4 Rooms,896
Saginaw County,5 or more Rooms,929
Saginaw County,No Rooms,565
Sanilac County,1 Room,489
Sanilac County,2 Rooms,695
Sanilac County,3 Rooms,822
Sanilac County,4 Rooms,848
Sanilac County,5 or more Rooms,813
Sanilac County,No Rooms,0
Schoolcraft County,1 Room,293
Schoolcraft County,2 Rooms,568
Schoolcraft County,3 Rooms,770
Schoolcraft County,4 Rooms,0
Schoolcraft County,5 or more Rooms,0
Schoolcraft County,No Rooms,0
Shiawassee County,1 Room,551
Shiawassee County,2 Rooms,729
Shiawassee County,3 Rooms,906
Shiawassee County,4 Rooms,969
Shiawassee County,5 or more Rooms,2091
Shiawassee County,No Rooms,559
St. Clair County,1 Room,592
St. Clair County,2 Rooms,788
St. Clair County,3 Rooms,991
St. Clair County,4 Rooms,1121
St. Clair County,5 or more Rooms,1299
St. Clair County,No Rooms,640
St. Joseph County,1 Room,556
St. Joseph County,2 Rooms,695
St. Joseph County,3 Rooms,887
St. Joseph County,4 Rooms,965
St. Joseph County,5 or more Rooms,1059
St. Joseph County,No Rooms,670
Tuscola County,1 Room,526
Tuscola County,2 Rooms,682
Tuscola County,3 Rooms,854
Tuscola County,4 Rooms,973
Tuscola County,5 or more Rooms,925
Tuscola County,No Rooms,460
Van Buren County,1 Room,519
Van Buren County,2 Rooms,735
Van Buren County,3 Rooms,872
Van Buren County,4 Rooms,863
Van Buren County,5 or more Rooms,1209
Van Buren County,No Rooms,466
Washtenaw County,1 Room,997
Washtenaw County,2 Rooms,1210
Washtenaw County,3 Rooms,1340
Washtenaw County,4 Rooms,1656
Washtenaw County,5 or more Rooms,1519
Washtenaw County,No Rooms,981
Wayne County,1 Room,680
Wayne County,2 Rooms,897
Wayne County,3 Rooms,1059
Wayne County,4 Rooms,1118
Wayne County,5 or more Rooms,1169
Wayne County,No Rooms,679
Wexford County,1 Room,426
Wexford County,2 Rooms,728
Wexford County,3 Rooms,907
Wexford County,4 Rooms,1021
Wexford County,5 or more Rooms,755
Wexford County,No Rooms,0
